rule_id,family,shortfall,weather_type,weather_level,downtime,blast,anomaly,priority,title,action,reason
R01,Redeploy equipment,high,none,any,high,any,any,High,Redeploy equipment,"Redeploy standby equipment to the lagging section and move work off {equipment}, the unit with the most downtime.","Shortfall risk is {risk_band} ({risk:.2f}), there is no weather alert and fleet downtime is {downtime_band}, so equipment availability is the likely cause."
R02,Redeploy equipment,medium,none,any,high,any,any,Medium,Put a standby unit on alert,Keep a standby unit ready and inspect {equipment} before the next shift.,"Shortfall risk is {risk_band} ({risk:.2f}) and fleet downtime is {downtime_band}, with no weather alert. Downtime is the main thing that could push output below plan."
R03,Maintenance,low,none,any,high,any,any,Medium,Book preventive maintenance,Schedule preventive maintenance for {equipment} in the lowest-output window.,"Shortfall risk is still {risk_band} ({risk:.2f}), but fleet downtime is {downtime_band}. Fixing it now is cheaper than a breakdown later."
R04,Plan review,high,none,any,low|medium,any,any,High,Review the plan and face sequence,"Review the weekly plan and the blast and haulage sequence with the shift planner, and check face availability.","Shortfall risk is {risk_band} ({risk:.2f}) but there is no weather alert and fleet downtime is only {downtime_band}, so the cause is probably in the plan, not weather or equipment."
R05,Monitor,medium,none,any,low|medium,any,any,Low,Keep the plan and re-check,Keep the current plan and re-check the forecast next week.,Shortfall risk is {risk_band} ({risk:.2f}) with no weather alert and {downtime_band} fleet downtime.
R06,Monitor,low,none,any,low|medium,any,any,Low,No action needed,No change needed. Production is on track.,"Shortfall risk is {risk_band} ({risk:.2f}), there is no weather alert and fleet downtime is {downtime_band}."
R07,Adjust schedule,medium|high,waterlogging,warning,any,any,any,High,Shift work away from waterlogged areas,Move operations to drier faces or working hours and start dewatering first.,A waterlogging warning is active and shortfall risk is {risk_band} ({risk:.2f}).
R08,Adjust schedule,medium|high,waterlogging,watch,any,any,any,Medium,Prepare for waterlogging,"Position pumps, clear drainage and identify drier faces to switch to if the alert rises.",A waterlogging watch is active and shortfall risk is {risk_band} ({risk:.2f}).
R09,Adjust schedule,medium|high,road,warning,any,any,any,High,Shift haulage to drier hours,Move heavy haulage to the driest part of the day and reduce dumper trips on the wet sections.,A road-risk warning is active and shortfall risk is {risk_band} ({risk:.2f}).
R10,Adjust schedule,medium|high,road,watch,any,any,any,Medium,Prepare haul roads,Inspect and grade the wet haul-road sections and plan which trips can be moved to drier hours.,A road-risk watch is active and shortfall risk is {risk_band} ({risk:.2f}).
R11,Route change,medium|high,haul_friction,warning,any,any,any,High,Use the alternate haul route,Switch to the alternate haul route and reduce dumper loads on the low-friction segment.,A haul-friction warning is active and shortfall risk is {risk_band} ({risk:.2f}).
R12,Route change,medium|high,haul_friction,watch,any,any,any,Medium,Identify an alternate haul route,"Identify the alternate haul route and brief dumper operators, so the switch is quick if the alert rises.",A haul-friction watch is active and shortfall risk is {risk_band} ({risk:.2f}).
R13,Precaution,low,any_alert,watch|warning,any,any,any,Medium,Take weather precautions,No change to the plan. Inspect drainage and keep pumps positioned.,Shortfall risk is {risk_band} ({risk:.2f}) but a weather alert is active ({alerts}).
R14,Blasting,medium|high,any_alert,watch|warning,any,yes,any,High,Reschedule the next blast,Move the next blast to a dry window and confirm drainage before charging holes.,"Blasts were delayed {blast_days} day(s) this week, a weather alert is active ({alerts}) and shortfall risk is {risk_band} ({risk:.2f})."
R15,Blasting,medium|high,none,any,any,yes,any,Medium,Re-sequence pending blasts,Review the blast schedule and re-sequence pending blasts to avoid further delays.,"Blasts were delayed {blast_days} day(s) this week and shortfall risk is {risk_band} ({risk:.2f}), with no weather alert."
R16,Adjust schedule,high,any_alert,watch|warning,high,any,any,High,Re-plan the week,"Re-plan the week: prioritise the most accessible faces, defer non-critical work and redeploy standby equipment from {equipment}.","Three risks stack up: shortfall risk is {risk_band} ({risk:.2f}), a weather alert is active ({alerts}) and fleet downtime is {downtime_band}."
R17,Data check,any,any,any,any,any,yes,Medium,Check the unusual production data,Check equipment logs and blast records for the flagged week before acting on the forecast.,"The latest production figure falls outside the forecast range, so it may be a real event or a data problem."
